Customer ID,Sales,Invoice,Recency,AOV,Tenure,Cluster
12346.0,-64.67999999999302,48,325,-1.3474999999998545,725,1
12347.0,5633.32,253,1,22.26608695652174,403,4
12348.0,2019.4,51,74,39.596078431372554,437,4
12349.0,4404.54,180,18,24.469666666666665,735,4
12350.0,334.4,17,309,19.670588235294115,309,3
12351.0,300.93,21,374,14.33,374,1
12352.0,1889.21,113,35,16.71867256637168,392,4
12353.0,406.76,24,203,16.948333333333334,408,3
12354.0,1079.4,58,231,18.610344827586207,231,3
12355.0,947.61,35,213,27.074571428571428,567,4
12356.0,6373.68,143,22,44.57118881118881,424,4
12357.0,18287.66,296,32,61.78263513513514,388,0
12358.0,3887.07,77,1,50.48142857142857,731,4
12359.0,8714.89,375,7,23.239706666666667,733,0
12360.0,4212.89,218,51,19.325183486238533,655,4
12361.0,511.25,29,286,17.629310344827587,681,1
12362.0,5284.58,275,2,19.216654545454546,738,4
12363.0,552.0,23,109,24.0,241,3
12364.0,1313.1,85,7,15.448235294117646,111,3
12365.0,320.69,23,290,13.94304347826087,290,3
12366.0,500.24,3,633,166.74666666666667,633,2
12367.0,168.9,11,3,15.354545454545455,3,3
12368.0,917.6999999999999,18,627,50.98333333333333,627,1
12369.0,1791.15,93,412,19.25967741935484,641,1
12370.0,4320.31,202,50,21.387673267326736,668,4
12371.0,4067.38,167,44,24.35556886227545,644,4
12372.0,1298.04,52,71,24.962307692307693,296,3
12373.0,1127.65,51,310,22.110784313725492,673,1
12374.0,2989.2200000000003,83,24,36.01469879518073,587,4
12375.0,455.42,18,2,25.301111111111112,97,3
12376.0,503.15,13,389,38.70384615384615,417,1
12377.0,3426.32,152,314,22.54157894736842,588,4
12378.0,5416.32,301,129,17.994418604651162,561,4
12379.0,1618.27,82,81,19.735,534,4
12380.0,7888.0,283,21,27.872791519434628,662,0
12381.0,1803.96,91,4,19.823736263736265,119,3
12382.0,-18.38,1,681,-18.38,681,1
12383.0,1839.31,100,184,18.3931,351,3
12384.0,566.16,30,28,18.872,121,3
12385.0,1923.4,66,378,29.142424242424244,378,1
12386.0,660.8,18,337,36.71111111111111,366,1
12387.0,143.94,9,414,15.993333333333332,414,1
12388.0,3901.11,146,15,26.719931506849317,581,4
12389.0,1433.33,49,402,29.251632653061222,655,1
12390.0,549.84,32,79,17.1825,79,3
12391.0,2747.82,287,21,9.574285714285715,662,4
12392.0,234.75000000000003,7,590,33.53571428571429,590,1
12393.0,2376.75,112,71,21.220982142857142,427,4
12394.0,1272.48,27,63,47.12888888888889,216,3
12395.0,5046.92,257,15,19.637821011673154,602,4
12396.0,931.43,65,673,14.329692307692307,673,1
12397.0,2409.9,126,35,19.126190476190477,134,3
12398.0,1635.6599999999999,85,45,19.24305882352941,45,3
12399.0,1962.3,110,118,17.83909090909091,644,4
12400.0,205.25,11,413,18.65909090909091,413,1
12401.0,84.3,5,302,16.86,302,3
12402.0,1244.15,71,322,17.52323943661972,670,1
12403.0,1001.36,10,49,100.136,521,2
12404.0,63.24,1,681,63.24,681,1
12405.0,1710.39,54,148,31.67388888888889,148,3
12406.0,6072.21,170,21,35.71888235294118,696,4
12407.0,1708.1200000000001,77,49,22.183376623376624,263,3
12408.0,4279.64,170,32,25.174352941176473,497,4
12410.0,1001.46,42,300,23.844285714285714,501,1
12411.0,346.9,22,409,15.768181818181818,409,1
12412.0,2581.03,131,74,19.702519083969467,538,4
12413.0,935.5,53,66,17.650943396226417,401,3
12414.0,692.41,37,216,18.713783783783782,463,1
12416.0,202.56,11,656,18.414545454545454,656,1
12417.0,6708.21,381,2,17.60685039370079,733,0
12418.0,2016.95,103,112,19.582038834951458,629,4
12419.0,503.01,25,385,20.1204,413,1
12420.0,600.39,29,63,20.70310344827586,63,3
12421.0,1092.83,67,15,16.31089552238806,504,4
12422.0,4119.35,176,95,23.405397727272728,721,4
12423.0,2612.19,166,0,15.736084337349398,465,4
12424.0,3289.78,97,162,33.91525773195877,731,4
12425.0,1680.81,95,77,17.692736842105262,447,4
12426.0,1311.41,82,194,15.992804878048782,662,4
12427.0,1011.87,45,11,22.486,371,3
12428.0,7877.2,300,25,26.25733333333333,283,0
12429.0,7435.51,174,8,42.73281609195402,545,4
12430.0,256.4,11,42,23.30909090909091,42,3
12431.0,10719.41,413,35,25.95498789346247,693,0
12432.0,5059.32,108,42,46.845555555555556,171,3
12433.0,20428.86,707,0,28.895134370579918,476,0
12434.0,1062.48,74,84,14.357837837837838,380,3
12435.0,13925.93,112,79,124.33866071428572,736,2
12436.0,509.01,16,99,31.813125,99,3
12437.0,12394.85,583,1,21.26046312178388,736,0
12438.0,2906.85,98,13,29.66173469387755,139,3
12439.0,1104.48,75,682,14.7264,725,1
12440.0,768.15,35,456,21.947142857142858,717,1
12441.0,347.1,22,366,15.77727272727273,366,1
12442.0,172.06,12,2,14.338333333333333,2,3
12443.0,485.31,21,731,23.11,731,1
12444.0,5005.46,177,20,28.27943502824859,170,3
12445.0,426.48,25,21,17.0592,420,3
12446.0,1002.3100000000001,58,57,17.281206896551726,57,3
12447.0,476.49,26,242,18.326538461538462,242,3
12448.0,449.45,22,43,20.429545454545455,43,3
12449.0,4835.89,201,21,24.05915422885572,438,4
12450.0,666.95,40,155,16.673750000000002,473,4
12451.0,12546.53,514,10,24.409591439688718,528,0
12452.0,428.57,23,16,18.633478260869566,16,3
12453.0,707.09,43,133,16.443953488372095,133,3
12454.0,4292.71,72,52,59.62097222222222,681,2
12455.0,5879.95,227,72,25.902863436123347,721,4
12456.0,3153.89,129,43,24.44875968992248,254,3
12457.0,2472.31,93,57,26.583978494623654,434,4
12458.0,1777.49,84,70,21.160595238095237,487,4
12459.0,454.36,23,604,19.754782608695653,604,1
12460.0,326.65,18,455,18.147222222222222,455,1
12461.0,826.88,35,93,23.62514285714286,154,3
